Symbol,Quantity,Price,Action,Description,TradeDate,SettledDate,Interest,Amount,Commission,Fee,CUSIP,RecordType
            ,0.00,,Interest,INTEREST ON CREDIT BALANCE AT  0.150  08/16 THRU 09/15      ,2025-09-16,2025-09-16,0.00,0.01,0.00,0.00,00099A109,Financial
QQQM        ,0.00,,Dividend,INVESCO EXCHANGE TRADED FD TR II INVESCO NASDAQ 100 ETF CASH DIV  ON       1 SHS REC 09/22/25 PAY 09/26/25 NON-QUALIFIED DIVIDEND NON-RES TAX WITHHELD  $0.09,2025-09-26,2025-09-26,0.00,0.3,0.00,0.00,46138G649,Financial
NVDA        ,0.00,,Dividend,NVIDIA CORP CASH DIV  ON      21 SHS REC 09/11/25 PAY 10/02/25 NON-RES TAX WITHHELD    $0.06,2025-10-02,2025-10-02,0.00,0.21,0.00,0.00,67066G104,Financial
TSM         ,0.00,,Dividend,***TAIWAN SEMICONDUCTOR MFG CO LTD-SPONSORED ADR REPSTG 5 COM CASH DIV  ON       3 SHS REC 09/16/25 PAY 10/09/25 FOREIGN TAX WITHHELD   $0.52,2025-10-09,2025-10-09,0.00,2.47,0.00,0.00,874039100,Financial
IBIT        ,1.00,64.9496,BUY,ISHARES BITCOIN TR             ISHARES BITCOIN TRUST ETF      UNSOLICITED                                                                                                                                               ,2025-10-13,2025-10-14,0.00,-64.95,0.00,0.00,46438F101,Trade
            ,0.00,,Interest,INTEREST ON CREDIT BALANCE AT  0.150  09/16 THRU 10/15      ,2025-10-16,2025-10-16,0.00,0.01,0.00,0.00,00099A109,Financial
AMD         ,-1.00,242.87,SELL,ADVANCED MICRO DEVICES INC     COM                            UNSOLICITED                                                                                                                                               ,2025-11-17,2025-11-18,0.00,242.87,0.00,0.00,007903107,Trade
QQQM        ,-1.00,249.56,SELL,INVESCO EXCHANGE TRADED FD TR  II INVESCO NASDAQ 100 ETF      UNSOLICITED                                                                                                                                               ,2025-11-17,2025-11-18,0.00,249.56,0.00,0.00,46138G649,Trade
            ,0.00,,Other,ACH DEPOSIT SEN(20251117101398)      ,2025-11-17,2025-11-17,0.00,300.00,0.00,0.00,         ,Financial
NVDA        ,2.00,181.66,BUY,NVIDIA CORP                    UNSOLICITED                                                                                                                                                                              ,2025-12-02,2025-12-03,0.00,-363.32,0.00,0.00,67066G104,Trade
GOOG        ,2.00,306.6102,BUY,ALPHABET INC                   CLASS C CAPITAL STOCK          UNSOLICITED                                                                                                                                               ,2025-12-15,2025-12-16,0.00,-613.22,0.00,0.00,02079K107,Trade
GRAB        ,-125.00,5.075,SELL,***GRAB HOLDINGS LIMITED       CLASS A ORDINARY SHARES        UNSOLICITED                                                                                                                                               ,2025-12-15,2025-12-16,0.00,634.38,0.00,0.00,G4124C109,Trade
GOOG        ,1.00,307.23,BUY,ALPHABET INC                   CLASS C CAPITAL STOCK          UNSOLICITED                                                                                                                                               ,2025-12-15,2025-12-16,0.00,-307.23,0.00,0.00,02079K107,Trade
            ,0.00,,Interest,INTEREST ON CREDIT BALANCE AT  0.150  11/16 THRU 12/15      ,2025-12-16,2025-12-16,0.00,0.08,0.00,0.00,00099A109,Financial
NVDA        ,0.00,,Dividend,NVIDIA CORP CASH DIV  ON      23 SHS REC 12/04/25 PAY 12/26/25 NON-RES TAX WITHHELD    $0.07,2025-12-26,2025-12-26,0.00,0.23,0.00,0.00,67066G104,Financial
            ,0.00,,Interest,INTEREST ON CREDIT BALANCE AT  0.150  12/16 THRU 12/31      ,2025-12-31,2025-12-31,0.00,0.01,0.00,0.00,00099A109,Financial
TSM         ,0.00,,Dividend,***TAIWAN SEMICONDUCTOR MFG CO LTD-SPONSORED ADR REPSTG 5 COM CASH DIV  ON       3 SHS REC 12/11/25 PAY 01/08/26 FOREIGN TAX WITHHELD   $0.50,2026-01-08,2026-01-08,0.00,2.39,0.00,0.00,874039100,Financial
            ,0.00,,Interest,INTEREST ON CREDIT BALANCE AT  0.150  01/01 THRU 01/15      ,2026-01-16,2026-01-16,0.00,0.01,0.00,0.00,00099A109,Financial
